Customer_ID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn
C00001,43,2076,89268,One year,Net Banking,No,0,No
C00002,26,4263,110838,Month-to-month,UPI,Yes,1,No
C00003,43,4367,187781,One year,Net Banking,Yes,0,No
C00004,35,3844,134540,Two year,UPI,Yes,1,No
C00005,8,3904,31232,One year,UPI,No,0,No
C00006,30,2655,79650,Month-to-month,Net Banking,Yes,1,No
C00007,14,1372,19208,Month-to-month,Cash,Yes,1,No
C00008,35,3123,109305,Two year,Cash,Yes,0,No
C00009,54,4960,267840,One year,Net Banking,No,0,No
C00010,52,3748,194896,Two year,Net Banking,No,0,No
C00011,29,1444,41876,Two year,Credit Card,No,1,No
C00012,39,1672,65208,Two year,UPI,Yes,0,No
C00013,34,4818,163812,Month-to-month,Net Banking,Yes,0,No
C00014,12,906,10872,One year,UPI,Yes,0,No
C00015,45,1262,56790,Month-to-month,Cash,Yes,1,No
C00016,21,1113,23373,One year,Cash,No,0,No
C00017,55,3245,178475,One year,UPI,Yes,0,Yes
C00018,34,2110,71740,Month-to-month,UPI,No,0,No
C00019,51,3994,203694,One year,Credit Card,Yes,0,No
C00020,35,399,13965,One year,Cash,Yes,0,Yes
C00021,27,3634,98118,Two year,UPI,Yes,0,No
C00022,46,4329,199134,Two year,Cash,Yes,1,No
C00023,23,3652,83996,Month-to-month,Cash,Yes,0,Yes
C00024,34,3434,116756,Month-to-month,Credit Card,No,0,No
C00025,31,4575,141825,One year,Cash,No,0,No
C00026,33,2034,67122,One year,Cash,Yes,1,No
C00027,55,1754,96470,One year,Cash,No,1,No
C00028,5,1952,9760,Month-to-month,Net Banking,Yes,1,No
C00029,49,1616,79184,Month-to-month,Cash,Yes,0,No
C00030,24,2301,55224,Month-to-month,Cash,No,1,No
C00031,45,431,19395,Two year,Cash,Yes,0,Yes
C00032,7,2625,18375,Month-to-month,UPI,Yes,0,No
C00033,48,3279,157392,Month-to-month,UPI,Yes,0,No
C00034,25,2073,51825,Month-to-month,Net Banking,No,0,Yes
C00035,56,2459,137704,One year,Cash,No,1,Yes
C00036,17,4919,83623,One year,Cash,No,0,Yes
C00037,22,2120,46640,Two year,UPI,No,0,No
C00038,42,463,19446,Two year,UPI,No,1,No
C00039,7,466,3262,Month-to-month,Net Banking,No,0,No
C00040,7,3517,24619,One year,Credit Card,No,0,No
C00041,21,3860,81060,Month-to-month,Cash,No,0,No
C00042,36,3078,110808,Month-to-month,UPI,Yes,1,Yes
C00043,39,2355,91845,Two year,Cash,No,0,No
C00044,55,2119,116545,Two year,UPI,No,0,No
C00045,45,586,26370,One year,UPI,No,1,Yes
C00046,23,426,9798,Two year,UPI,Yes,0,No
C00047,4,2908,11632,Month-to-month,Net Banking,No,1,No
C00048,17,3740,63580,Two year,UPI,Yes,0,Yes
C00049,1,1798,1798,One year,Net Banking,Yes,0,Yes
C00050,44,443,19492,Two year,Cash,Yes,0,Yes
C00051,18,4171,75078,Two year,Net Banking,No,0,No
C00052,54,3672,198288,One year,Credit Card,Yes,1,Yes
C00053,49,1362,66738,Two year,Credit Card,Yes,0,No
C00054,54,3380,182520,Two year,Cash,Yes,0,Yes
C00055,42,2755,115710,Two year,Cash,No,0,No
C00056,46,1629,74934,Two year,Credit Card,No,0,Yes
C00057,55,3324,182820,Month-to-month,Net Banking,Yes,0,No
C00058,23,1149,26427,Month-to-month,Net Banking,Yes,0,No
C00059,6,4124,24744,Two year,Credit Card,No,0,No
C00060,16,2837,45392,One year,Cash,No,0,Yes
C00061,21,3989,83769,Month-to-month,Cash,Yes,0,No
C00062,33,1734,57222,One year,UPI,No,0,No
C00063,37,1989,73593,Two year,Credit Card,No,1,No
C00064,38,4049,153862,Two year,UPI,No,1,No
C00065,26,4008,104208,Two year,Net Banking,Yes,1,No
C00066,2,1395,2790,Two year,Cash,Yes,0,No
C00067,29,797,23113,One year,UPI,No,0,No
C00068,20,4748,94960,One year,Cash,No,0,No
C00069,21,2500,52500,Two year,Credit Card,No,0,No
C00070,23,742,17066,Month-to-month,UPI,Yes,0,No
C00071,32,2876,92032,One year,Net Banking,No,1,No
C00072,26,1453,37778,Two year,Cash,No,0,No
C00073,47,2796,131412,Two year,Cash,No,0,No
C00074,6,2592,15552,Month-to-month,UPI,Yes,0,No
C00075,28,3369,94332,One year,Cash,No,0,Yes
C00076,55,2493,137115,Two year,Cash,Yes,0,No
C00077,7,1056,7392,Month-to-month,Credit Card,No,0,No
C00078,57,4465,254505,Two year,Credit Card,No,0,Yes
C00079,25,3918,97950,Two year,UPI,Yes,0,No
C00080,52,393,20436,Two year,UPI,No,0,Yes
C00081,51,4704,239904,Two year,Net Banking,No,0,Yes
C00082,51,4032,205632,Month-to-month,Credit Card,No,0,No
C00083,39,3559,138801,One year,Cash,No,0,No
C00084,8,1005,8040,Two year,Net Banking,Yes,0,No
C00085,34,2792,94928,Two year,Net Banking,Yes,0,No
C00086,49,1350,66150,One year,Credit Card,Yes,0,No
C00087,47,3509,164923,Two year,Credit Card,Yes,1,Yes
C00088,22,624,13728,Two year,UPI,Yes,0,No
C00089,60,3910,234600,Two year,Cash,Yes,0,Yes
C00090,10,3392,33920,One year,Net Banking,Yes,0,No
C00091,4,4526,18104,One year,Credit Card,Yes,0,No
C00092,41,2238,91758,One year,Cash,No,0,No
C00093,9,1499,13491,Month-to-month,Net Banking,No,0,Yes
C00094,48,1509,72432,Month-to-month,UPI,Yes,0,No
C00095,56,3802,212912,One year,UPI,No,0,No
C00096,15,4237,63555,Two year,Net Banking,Yes,0,No
C00097,41,3664,150224,One year,Cash,No,0,No
C00098,12,4740,56880,Two year,Cash,No,0,Yes
C00099,21,671,14091,Two year,Net Banking,Yes,1,Yes
C00100,8,2779,22232,One year,Credit Card,Yes,0,No
C00101,48,4890,234720,Two year,Cash,Yes,0,No
C00102,45,4063,182835,Month-to-month,Credit Card,No,0,No
C00103,16,629,10064,Month-to-month,Cash,Yes,0,No
C00104,31,663,20553,One year,Credit Card,No,0,No
C00105,22,2761,60742,Month-to-month,Net Banking,No,0,Yes
C00106,46,3532,162472,One year,UPI,Yes,1,Yes
C00107,58,3994,231652,Two year,UPI,Yes,0,No
C00108,22,2455,54010,Month-to-month,UPI,Yes,1,No
C00109,47,4228,198716,One year,Cash,Yes,0,No
C00110,28,3761,105308,One year,Credit Card,Yes,0,No
C00111,8,3013,24104,Two year,Cash,No,0,No
C00112,3,907,2721,One year,UPI,No,0,Yes
C00113,22,1265,27830,Month-to-month,Cash,Yes,1,Yes
C00114,35,4622,161770,One year,Credit Card,Yes,1,Yes
C00115,9,4790,43110,One year,Cash,No,1,No
C00116,41,4436,181876,One year,Cash,Yes,0,Yes
C00117,26,1303,33878,Two year,Net Banking,Yes,0,No
C00118,56,2076,116256,Month-to-month,Cash,Yes,0,No
C00119,4,4066,16264,Month-to-month,Cash,No,1,Yes
C00120,58,844,48952,One year,UPI,No,0,No
C00121,30,1855,55650,Two year,Cash,No,0,No
C00122,16,1809,28944,One year,UPI,No,0,No
C00123,26,4331,112606,Month-to-month,Credit Card,No,0,Yes
C00124,33,4039,133287,One year,UPI,No,0,No
C00125,17,1928,32776,Month-to-month,Net Banking,No,0,Yes
C00126,38,657,24966,Month-to-month,Credit Card,Yes,0,No
C00127,11,4432,48752,One year,Cash,Yes,0,No
C00128,14,2574,36036,One year,UPI,Yes,0,No
C00129,60,1830,109800,Two year,Cash,Yes,0,Yes
C00130,12,603,7236,Two year,Credit Card,Yes,0,No
C00131,41,3653,149773,One year,Net Banking,No,0,No
C00132,12,4055,48660,One year,UPI,Yes,0,No
C00133,31,4179,129549,Month-to-month,UPI,Yes,0,Yes
C00134,34,518,17612,Month-to-month,Net Banking,No,0,No
C00135,42,3740,157080,One year,UPI,Yes,0,No
C00136,59,3408,201072,Two year,Net Banking,No,0,No
C00137,13,1209,15717,Month-to-month,Credit Card,No,0,Yes
C00138,12,1817,21804,Two year,Net Banking,Yes,0,No
C00139,6,1902,11412,One year,Net Banking,No,0,No
C00140,51,4642,236742,Month-to-month,UPI,No,0,No
C00141,50,3920,196000,One year,Credit Card,Yes,0,No
C00142,1,1642,1642,One year,UPI,Yes,0,No
C00143,29,1982,57478,Month-to-month,Net Banking,Yes,0,No
C00144,43,2764,118852,Two year,Cash,No,1,Yes
C00145,10,1811,18110,Two year,Credit Card,Yes,0,Yes
C00146,28,3082,86296,Month-to-month,UPI,No,0,No
C00147,39,4130,161070,One year,Net Banking,No,1,Yes
C00148,1,4190,4190,Two year,Credit Card,No,0,No
C00149,53,429,22737,Month-to-month,Net Banking,Yes,0,No
C00150,56,4139,231784,Two year,Cash,No,0,No
C00151,1,2565,2565,Month-to-month,Net Banking,Yes,0,No
C00152,3,2036,6108,Two year,Net Banking,No,0,No
C00153,1,340,340,Month-to-month,Net Banking,Yes,0,No
C00154,19,483,9177,Two year,Net Banking,No,0,No
C00155,29,1957,56753,Two year,Cash,No,0,No
C00156,2,3823,7646,Month-to-month,UPI,No,1,Yes
C00157,35,4986,174510,Two year,Credit Card,No,0,No
C00158,58,4095,237510,Month-to-month,UPI,Yes,0,Yes
C00159,50,4349,217450,Two year,Credit Card,Yes,0,No
C00160,40,3493,139720,Two year,Credit Card,No,0,Yes
C00161,40,1427,57080,Month-to-month,Cash,Yes,0,Yes
C00162,8,1928,15424,One year,Cash,Yes,0,No
C00163,4,512,2048,Month-to-month,UPI,Yes,0,No
C00164,42,4367,183414,Month-to-month,Credit Card,Yes,0,No
