Customer_ID,Product,Quantity,Price,Total_Sales,Region,Date
C00001,Laptop,1,50000,50000,North,2025-12-30
C00002,Printer,10,8000,80000,West,2025-12-09
C00003,Monitor,6,25000,150000,North,2025-12-18
C00004,Keyboard,10,12000,120000,South,2025-12-12
C00005,Keyboard,5,500,2500,East,2025-11-19
C00006,Tablet,9,25000,225000,West,2025-07-15
C00007,Laptop,4,8000,32000,East,2025-09-15
C00008,Printer,5,500,2500,West,2025-04-02
C00009,Mouse,4,1500,6000,South,2025-09-13
C00010,Laptop,6,25000,150000,West,2025-09-27
C00011,Monitor,3,25000,75000,South,2025-06-06
C00012,Tablet,6,12000,72000,North,2025-08-30
C00013,Printer,9,500,4500,West,2025-06-03
C00014,Printer,2,12000,24000,East,2025-11-16
C00015,Printer,8,25000,200000,North,2025-03-13
C00016,Printer,9,1500,13500,South,2025-11-08
C00017,Monitor,1,25000,25000,North,2025-10-08
C00018,Laptop,7,8000,56000,South,2025-04-12
C00019,Tablet,5,500,2500,East,2025-03-01
C00020,Keyboard,7,500,3500,North,2025-08-02
C00021,Monitor,3,25000,75000,West,2025-12-08
C00022,Keyboard,3,50000,150000,West,2025-06-10
C00023,Mouse,3,500,1500,East,2025-04-07
C00024,Tablet,2,8000,16000,South,2025-12-06
C00025,Printer,5,12000,60000,North,2025-08-19
C00026,Monitor,9,500,4500,West,2025-05-30
C00027,Keyboard,8,12000,96000,South,2025-06-03
C00028,Printer,2,12000,24000,North,2025-01-24
C00029,Monitor,6,12000,72000,South,2025-11-01
C00030,Keyboard,1,25000,25000,West,2025-06-28
C00031,Keyboard,1,1500,1500,East,2025-10-21
C00032,Mouse,7,8000,56000,West,2025-03-26
C00033,Laptop,4,1500,6000,East,2025-01-30
C00034,Monitor,8,8000,64000,South,2025-01-04
C00035,Tablet,2,50000,100000,East,2025-08-13
C00036,Laptop,2,12000,24000,East,2025-11-29
C00037,Tablet,8,1500,12000,West,2025-09-24
C00038,Printer,3,8000,24000,South,2025-09-03
C00039,Mouse,1,25000,25000,South,2025-07-07
C00040,Monitor,8,1500,12000,North,2025-02-12
C00041,Laptop,8,500,4000,South,2025-07-24
C00042,Printer,10,12000,120000,East,2025-05-19
C00043,Printer,6,25000,150000,South,2025-02-09
C00044,Keyboard,5,25000,125000,East,2025-04-12
C00045,Laptop,7,500,3500,North,2025-09-10
C00046,Tablet,8,50000,400000,East,2025-10-25
C00047,Keyboard,7,1500,10500,West,2025-04-23
C00048,Tablet,4,1500,6000,West,2025-09-12
C00049,Printer,9,50000,450000,South,2025-12-30
C00050,Printer,8,50000,400000,East,2025-02-10
C00051,Printer,9,50000,450000,West,2025-05-18
C00052,Mouse,6,500,3000,South,2025-01-03
C00053,Keyboard,5,12000,60000,South,2025-03-02
C00054,Keyboard,9,1500,13500,West,2025-10-27
C00055,Keyboard,7,25000,175000,West,2025-10-26
C00056,Laptop,8,8000,64000,West,2025-12-07
C00057,Monitor,9,500,4500,West,2025-08-17
C00058,Laptop,3,25000,75000,South,2025-12-18
C00059,Printer,2,12000,24000,South,2025-09-25
C00060,Printer,2,12000,24000,West,2025-02-13
C00061,Tablet,6,8000,48000,South,2025-06-20
C00062,Printer,9,50000,450000,West,2025-05-23
C00063,Keyboard,10,500,5000,East,2025-02-04
C00064,Tablet,1,12000,12000,East,2025-02-14
C00065,Keyboard,1,50000,50000,East,2025-12-14
C00066,Mouse,7,500,3500,West,2025-12-08
C00067,Tablet,3,25000,75000,North,2025-12-23
C00068,Keyboard,5,12000,60000,North,2025-06-15
C00069,Laptop,1,500,500,South,2025-05-16
C00070,Keyboard,1,8000,8000,South,2025-11-29
C00071,Printer,6,12000,72000,South,2025-03-10
C00072,Mouse,7,1500,10500,North,2025-06-15
C00073,Keyboard,9,500,4500,East,2025-10-03
C00074,Laptop,5,500,2500,North,2025-02-03
C00075,Printer,7,1500,10500,East,2025-04-08
C00076,Keyboard,9,50000,450000,West,2025-05-11
C00077,Mouse,5,1500,7500,West,2025-12-27
C00078,Mouse,3,12000,36000,North,2025-12-21
C00079,Monitor,9,25000,225000,North,2025-03-27
C00080,Printer,1,12000,12000,South,2025-11-16
C00081,Tablet,3,12000,36000,East,2025-08-12
